"id","district_id","city"
1273,407,Charar- E- Shrief
1274,305,Charaut
1275,530,Chare
1276,531,Chariduar
1277,532,Charkhari
1278,134,Charminar
1279,43,Charpokhari
1280,419,Chas
1281,204,Chassana
1282,533,Chatra
1283,44,Chatrai
1284,473,Chaubatta Khal
1285,372,Chaugain
1286,102,Chaukhutiya
1287,534,Chaupal
1288,374,Chauparan
1289,119,Chaurai
1290,355,Chauri Chaura
1291,372,Chausa
1292,78,Chausa
1293,86,Chautham
1294,336,Chauth Ka Barwara
1295,514,Chavakkad
1296,535,Chawngte
1297,337,Chayangtajo ADC
1298,536,Chebrolu
